1,Rosberg
2,Hamilton
3,Ricciardo
4,Alonso
5,Bottas
6,Vettel
7,Hulkenberg
8,Button
9, Magnussen
10,Massa
11,Perez
12,Raikkonen
13,Vergne
14,Grosjean
15,Kvyat
16,Bianchi
17,Sutil
18,Ericsson
19,Maldonado
20,Gutierrez
21,Chilton
22,Kobayashi

